[msg] WM_MOUSEMOVE client=(1173,605)
[msg] WM_MOUSEMOVE client=(1172,606)
[trace] mouse=(1172,606) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(1171,608)
[trace] mouse=(1171,608) valid=1 click=0 release=0 down=0
[trace] mouse=(1171,608) valid=1 click=0 release=0 down=0
[trace] mouse=(1171,608) valid=1 click=0 release=0 down=0
[trace] mouse=(1171,608) valid=1 click=0 release=0 down=0
[trace] mouse=(1171,608) valid=1 click=0 release=0 down=0
[trace] mouse=(1171,608) valid=1 click=0 release=0 down=0
[trace] mouse=(1171,608) valid=1 click=0 release=0 down=0
[trace] mouse=(1171,608) valid=1 click=0 release=0 down=0
[trace] mouse=(1171,608) valid=1 click=0 release=0 down=0
[trace] mouse=(1171,608) valid=1 click=0 release=0 down=0
[trace] mouse=(1171,608) valid=1 click=0 release=0 down=0
[trace] mouse=(1171,608) valid=1 click=0 release=0 down=0
[trace] mouse=(1171,608) valid=1 click=0 release=0 down=0
[trace] mouse=(1171,608) valid=1 click=0 release=0 down=0
[trace] mouse=(1171,608) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(1168,608)
[trace] mouse=(1168,608) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(1162,611)
[trace] mouse=(1162,611) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(91,69)
[msg] WM_MOUSEMOVE client=(90,70)
[trace] mouse=(90,70) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(89,71)
[trace] mouse=(89,71) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(91,74)
[trace] mouse=(91,74) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(97,77)
[msg] WM_MOUSEMOVE client=(98,77)
[trace] mouse=(98,77) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(103,81)
[msg] WM_MOUSEMOVE client=(104,82)
[trace] mouse=(104,82) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(106,82)
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[trace] mouse=(106,82) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(107,80)
[trace] mouse=(107,80) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(109,77)
[trace] mouse=(109,77) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(111,74)
[trace] mouse=(111,74) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(112,72)
[trace] mouse=(112,72) valid=1 click=0 release=0 down=0
[trace] mouse=(112,72) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(492,169)
